Id,Price
4567,159530.08537868698
5925,119534.89855550704
960,152200.37587240073
3848,113200.23988486292
746,190858.63276974479
868,355660.1553560954
672,105362.42366323082
2471,208353.9852654523
4510,118803.92773543573
8354,252950.4348451997
6393,166038.32669430878
13270,227624.01364093256
5250,329222.576817514
16751,172674.34651240398
11404,138668.77175862453
10588,340234.844123739
14925,193582.21869843817
6791,225025.72796226697
16097,198864.6096437813
16428,370158.32244607375
6945,334335.4055767802
3190,191523.03126538065
15709,449814.96685474657
13155,160952.16362876445
7675,205639.62971528975
14686,244544.24446802912
609,152437.8281787104
11155,185496.87732264065
10869,203867.11696841067
15742,187999.30250774152
9245,194861.11369035405
3340,177657.4228496695
2359,279142.2492517899
8070,209287.52114020172
13707,124695.20856433274
16079,289467.558889829
15937,297209.09587646404
14090,186236.01595674586
9008,212768.61861800464
16384,164448.14879970584
11657,231434.1088586566
13151,161433.5548481784
8990,163260.24365557008
11857,184216.86035539873
1565,155348.67887918497
8174,92778.9788163196
9247,230567.52964420826
10478,220779.470149953
15509,152252.239520623
8306,240737.66510081294
6642,184539.31869651104
7472,205215.21599030597
15989,128234.54289789552
13682,132672.44704364229
163,247557.15320084343
7076,207441.45982067118
7478,297171.079205331
3029,190456.05171807754
1814,140855.78771261417
10057,126418.56290277577
15100,190686.4180778922
12694,213113.27444167
6291,191155.1298420622
12603,173573.2537864817
3218,233338.67560754405
13456,122374.57693782398
10170,233719.8101920185
4530,159602.59820520412
13329,163273.4025547632
4820,149801.6495681427
10896,171635.46902343986
13416,124789.12270141293
2701,224620.38923956695
11265,333117.304187677
9189,271345.7308195667
1858,175555.50300817046
14536,241175.32638494155
6199,264936.37062668364
14730,150512.64181273972
7510,247908.79594065115
15505,159655.72715695392
7446,159884.96483914083
14016,175255.67413041805
14113,105875.11805049295
8721,281475.730307809
6193,299383.6493986618
5717,179033.7992251446
5427,309605.62087022065
9520,492263.380199404
6869,101318.03197480534
1658,163419.2193066367
6639,215418.36553847103
6283,186578.3184041291
6257,125044.91391730694
15235,186637.584587766
902,236322.1767719089
8932,178031.91021607246
16469,384829.6369780947
2825,270304.66621677997
6450,449258.7124601327
11366,176886.82700345444
3801,385591.7377341715
11385,181496.06042381228
1079,194981.80692246094
3202,226909.45494934413
676,215581.27175938105
6185,270810.73922770564
7730,160624.34350126275
2573,184619.64637289656
10978,203031.97265410557
10962,266043.4788134543
8870,195689.8274620208
8496,181828.00815187301
5517,172678.85963793594
927,176580.5715396511
13675,216041.11400205514
1499,217555.15961888366
15536,328814.4989591176
8602,344161.7078455689
12137,389759.80539483565
9865,257630.77741194642
16353,280277.14683339436
15908,213963.7358656266
3944,180184.96944402967
10359,207065.72962851552
15158,224070.73578299506
3259,253039.64647122985
7220,309143.9127649701
13843,208800.39961863006
16736,180694.28201073414
702,272870.73098146153
16401,191176.49298459914
12134,187522.83465445135
6918,236991.57691955223
11792,125995.17603421159
3798,123960.33609027768
10395,134178.36412258103
11099,141297.76749977143
7090,196757.5960747133
11260,201483.78096580468
9647,226052.50753998003
2903,365781.12087053247
2071,184327.01443920395
8604,186741.5766603574
9346,212372.26214951603
3945,203066.82869564224
3420,134244.86624626236
10842,124759.73122609693
725,161313.7348101135
13931,197347.86366776147
16330,231898.62817486888
9066,408575.80473418155
3326,303544.1135782283
1556,280972.6092595618
6579,98901.39261872417
13877,146953.06704267766
9857,359936.5271565066
7302,251547.1266112285
5684,198896.7489445138
6513,236305.04215145455
11342,115518.37304671611
16561,232500.19939504145
6885,175585.68536904026
9308,181417.22976370336
2559,186440.26187515596
6648,179940.0506061911
15260,167283.62871627032
5113,182651.28322049274
16492,186670.81609623364
12034,276940.5569440537
7248,218639.10768771268
2171,210139.22694791039
10594,156524.2536912235
13241,209398.68200680896
7032,139445.6226117498
4884,172103.13316515955
903,234759.22236309742
162,178028.22083373787
6566,275535.98047720845
8249,142458.19224754887
13106,181564.93503865352
256,127976.56637545463
7976,168124.36764322149
8575,176545.08973958337
7591,277157.8902526091
3204,196106.41718194174
15804,177907.38315562665
1525,328078.3893843082
9038,204622.08764032336
13628,187081.79542970486
10016,188945.31538352263
10208,220037.50697341978
2008,201983.43983425884
13029,212207.85409568629
5099,127699.981091953
9923,297054.81319011166
9461,134734.89593109378
11086,168907.64242821693
15057,290403.8628947765
10689,179576.89127819933
2053,215408.36395202362
16630,182130.2976210653
4985,161278.40879396696
13881,268384.4023260121
13225,187489.56870680474
5779,70324.2119560781
10262,189535.94425842646
10762,218786.38905524008
9513,200187.27945249662
11128,168879.30785969296
2074,309049.4262767498
933,202951.6639383073
2780,189104.35315091768
6594,117275.18794121263
15394,260165.33927660377
14863,133020.03898190314
6698,204672.18736962648
1611,276595.22371689975
174,186170.16998648472
5160,189608.08876602477
3295,320705.99518262537
4559,374637.3862905218
8254,166107.551423392
10228,99876.12852941662
13924,136260.4462400378
15341,244931.56939638767
4353,170294.33006558954
4334,76395.3640832541
